PackageName,NumberOfDrivers,IsPublished,HasCompleteMetaData,HasDataSheet,NumberOfSamples,HasTestSuite
Meadow.Foundation.Motors.Stepper.A4988,1,True,False,True,1,False
Meadow.Foundation.Motors.Stepper.GpioStepper,1,True,False,True,1,False
Meadow.Foundation.Motors.Stepper.Uln2003,1,True,False,True,1,False
Meadow.Foundation.Motors.StepperOnline,2,True,False,True,0,False
Meadow.Foundation.Motors.Tb67h420ftg,1,True,False,True,2,False
Meadow.Foundation.Peripherals.RaspberryPiHats.Waveshare.DualCan,1,True,True,False,1,False
Meadow.Foundation.RTCs.Ab0805,1,True,False,True,1,False
Meadow.Foundation.RTCs.Ds1307,1,True,False,True,1,False
Meadow.Foundation.RTCs.Ds323x,2,True,False,True,2,False
Meadow.Foundation.RTCs.Pcf8523,1,True,False,True,1,False
Meadow.Foundation.Sensors.Atmospheric.AdafruitMPRLS,1,True,False,True,1,False
Meadow.Foundation.Sensors.Atmospheric.Ahtx0,2,True,False,True,2,False
Meadow.Foundation.Sensors.Atmospheric.Bh1900Nux,1,True,False,True,1,False
Meadow.Foundation.Sensors.Atmospheric.Bme68x,2,True,False,True,2,False
Meadow.Foundation.Sensors.Atmospheric.Bmp085,1,True,False,True,1,False
Meadow.Foundation.Sensors.Atmospheric.Bmp180,1,True,False,True,1,False
Meadow.Foundation.Sensors.Atmospheric.Bmx280,2,True,False,True,2,False
Meadow.Foundation.Sensors.Atmospheric.Ccs811,1,True,False,True,1,False
Meadow.Foundation.Sensors.Atmospheric.Dhtxx,2,True,False,True,2,False
Meadow.Foundation.Sensors.Atmospheric.Hc2,1,True,False,True,1,False
Meadow.Foundation.Sensors.Atmospheric.Hih6130,1,True,False,True,1,False
Meadow.Foundation.Sensors.Atmospheric.Htux1d,2,True,False,True,2,False
Meadow.Foundation.Sensors.Atmospheric.Mpl3115a2,1,True,False,True,1,False
Meadow.Foundation.Sensors.Atmospheric.Ms5611,1,True,False,True,1,False
Meadow.Foundation.Sensors.Atmospheric.Sgp40,1,True,False,True,1,False
Meadow.Foundation.Sensors.Atmospheric.Sht31d,1,True,False,True,1,False
Meadow.Foundation.Sensors.Atmospheric.Sht4x,1,True,False,True,1,False
Meadow.Foundation.Sensors.Atmospheric.Si70xx,1,True,False,True,1,False
Meadow.Foundation.Sensors.Atmospheric.Th02,1,True,False,True,1,False
Meadow.Foundation.Sensors.Battery.Max1704x,2,True,False,True,1,False
Meadow.Foundation.Sensors.Camera.Amg8833,1,True,False,True,1,False
Meadow.Foundation.Sensors.Camera.Arducam,1,True,False,True,1,False
Meadow.Foundation.Sensors.Camera.Mlx90640,1,True,False,True,1,False
Meadow.Foundation.Sensors.Camera.Vc0706,1,True,False,True,1,False
Meadow.Foundation.Sensors.Color.Tcs3472x,1,True,False,True,1,False
Meadow.Foundation.Sensors.CurrentLoop,1,True,False,False,0,False
Meadow.Foundation.Sensors.Distance.A02yyuw,1,True,False,True,1,False
Meadow.Foundation.Sensors.Distance.Hcsr04,1,False,False,True,1,False
Meadow.Foundation.Sensors.Distance.MaxBotix,1,True,False,False,1,False
Meadow.Foundation.Sensors.Distance.Me007ys,1,True,False,True,1,False
Meadow.Foundation.Sensors.Distance.Vl53l0x,1,True,False,True,1,False
Meadow.Foundation.Sensors.Environmental.Ags01Db,1,True,False,True,1,False
Meadow.Foundation.Sensors.Environmental.AtlasScientificGravityDOMeter,1,True,False,True,1,False
Meadow.Foundation.Sensors.Environmental.DFRobotGravityDOMeter,1,True,False,False,1,False
Meadow.Foundation.Sensors.Environmental.Ens160,1,True,False,True,1,False
Meadow.Foundation.Sensors.Environmental.GroPoint,13,True,False,True,1,False
Meadow.Foundation.Sensors.Environmental.Keller.XLine,2,True,False,True,0,False
Meadow.Foundation.Sensors.Environmental.MiniPID2,1,True,False,True,1,False
Meadow.Foundation.Sensors.Environmental.NextPm,1,True,False,True,1,False
Meadow.Foundation.Sensors.Environmental.Pmsa003i,1,True,False,True,1,False
Meadow.Foundation.Sensors.Environmental.Scd30,1,True,False,True,1,False
Meadow.Foundation.Sensors.Environmental.Scd4x,2,True,False,True,2,False
Meadow.Foundation.Sensors.Environmental.Y4000,2,True,False,True,1,False
Meadow.Foundation.Sensors.Environmental.Ysi.Exo,1,True,False,True,1,False
Meadow.Foundation.Sensors.Flow.HallEffect,9,True,False,False,0,False
Meadow.Foundation.Sensors.Gnss,1,True,False,False,1,False
Meadow.Foundation.Sensors.Gnss.Mt3339,1,True,False,True,1,False
Meadow.Foundation.Sensors.Gnss.NeoM8,1,True,False,True,1,False
Meadow.Foundation.Sensors.Hid.ANONavigationEncoder,1,True,False,False,1,False
Meadow.Foundation.Sensors.Hid.As5013,1,True,False,True,1,False
Meadow.Foundation.Sensors.Hid.Bbq10Keyboard,1,True,False,True,1,False
Meadow.Foundation.Sensors.Hid.Keyboard,1,True,False,False,0,False
Meadow.Foundation.Sensors.Hid.Mpr121,1,True,False,True,1,False
Meadow.Foundation.Sensors.Hid.Tsc2004,1,True,False,True,1,False
Meadow.Foundation.Sensors.Hid.WiiExtensionControllers,5,True,False,False,5,False
Meadow.Foundation.Sensors.Hid.Xpt2046,1,True,False,True,1,False
Meadow.Foundation.Sensors.Light.Alspt19315C,1,True,False,True,1,False
Meadow.Foundation.Sensors.Light.AnalogSolarIntensityGauge,1,True,False,True,1,False
Meadow.Foundation.Sensors.Light.Bh1745,1,True,False,True,1,False
Meadow.Foundation.Sensors.Light.Bh1750,1,True,False,True,1,False
Meadow.Foundation.Sensors.Light.Max44009,1,True,False,True,1,False
Meadow.Foundation.Sensors.Light.Si1145,1,True,False,True,1,False
Meadow.Foundation.Sensors.Light.Temt6000,1,True,False,True,1,False
Meadow.Foundation.Sensors.Light.Tsl2591,1,True,False,True,1,False
Meadow.Foundation.Sensors.Light.Veml7700,1,True,False,True,1,False
Meadow.Foundation.Sensors.LoadCell.Hx711,1,True,False,True,1,False
Meadow.Foundation.Sensors.LoadCell.Nau7802,1,True,False,True,1,False
Meadow.Foundation.Sensors.Moisture.Capacitive,1,True,False,False,1,False
Meadow.Foundation.Sensors.Moisture.Fc28,1,True,False,True,1,False
Meadow.Foundation.Sensors.Motion.Adxl3xx,6,True,False,True,6,False
Meadow.Foundation.Sensors.Motion.Ak9753,1,True,False,True,1,False
Meadow.Foundation.Sensors.Motion.Apds9960,1,False,False,True,1,False
Meadow.Foundation.Sensors.Motion.Bmi270,1,True,False,True,1,False
Meadow.Foundation.Sensors.Motion.Bno055,1,True,False,True,1,False
Meadow.Foundation.Sensors.Motion.C4001,1,True,False,True,1,False
Meadow.Foundation.Sensors.Motion.Hcsens0040,1,True,False,True,1,False
Meadow.Foundation.Sensors.Motion.Hmc5883,1,True,False,True,2,False
Meadow.Foundation.Sensors.Motion.Lis2Mdl,1,True,False,True,1,False
Meadow.Foundation.Sensors.Motion.Lis3mdl,1,True,False,True,1,False
Meadow.Foundation.Sensors.Motion.Lsm303agr,1,True,False,True,1,False
Meadow.Foundation.Sensors.Motion.Lsm6dsox,1,True,False,True,1,False
Meadow.Foundation.Sensors.Motion.Mag3110,1,True,False,True,1,False
Meadow.Foundation.Sensors.Motion.Mma7660fc,1,True,False,True,1,False
Meadow.Foundation.Sensors.Motion.Mmc5603,1,True,False,True,1,False
Meadow.Foundation.Sensors.Motion.Mpu6050,1,True,False,True,1,False
Meadow.Foundation.Sensors.Motion.ParallaxPir,1,True,False,True,1,False
Meadow.Foundation.Sensors.Power.CurrentTransducer,1,True,False,False,1,False
Meadow.Foundation.Sensors.Power.Ina2xx,3,True,False,True,3,False
Meadow.Foundation.Sensors.Power.Spm1x,1,True,False,True,1,False
Meadow.Foundation.Sensors.Radio.Rfid.IDxxLA,1,True,False,True,1,False
Meadow.Foundation.Sensors.Sound.Ky038,1,True,False,False,1,False
Meadow.Foundation.Sensors.Temperature.Adt7410,1,True,False,True,1,False
Meadow.Foundation.Sensors.Temperature.Lm75,1,True,False,True,1,False
Meadow.Foundation.Sensors.Temperature.Max6675,1,True,False,True,1,False
Meadow.Foundation.Sensors.Temperature.Mcp960x,2,True,False,True,2,False
Meadow.Foundation.Sensors.Temperature.Mcp9808,1,True,False,True,1,False
Meadow.Foundation.Sensors.Temperature.Mlx90614,1,True,False,True,1,False
Meadow.Foundation.Sensors.Temperature.Pct2075,1,True,False,True,1,False
Meadow.Foundation.Sensors.Temperature.Thermistor,1,True,False,False,1,False
Meadow.Foundation.Sensors.Temperature.Tmp102,1,True,False,True,1,False
Meadow.Foundation.Sensors.Volume.ResistiveTankLevelSender,1,True,False,False,1,False
Meadow.Foundation.Sensors.Weather.SwitchingAnemometer,1,True,False,True,1,False
Meadow.Foundation.Sensors.Weather.SwitchingRainGauge,1,True,False,True,1,False
Meadow.Foundation.Sensors.Weather.WindVane,1,True,False,True,1,False
Meadow.Foundation.Transceivers.SeeedWioE5,1,True,False,False,2,False
Meadow.Foundation.Transceivers.WaveshareSx1303,1,False,False,True,2,False
