Namespace,Name,HasSample,HasSnipSnop,HasDatasheet,HasDocOverride,IsUIDCorrect,HasFritzing,HasCodeExample,HasWiringExample,HasPurchasing,IsPublished
Meadow.Foundation.Sensors.Battery,Max17043,True,True,False,True,True,False,True,False,False,True
Meadow.Foundation.Sensors.Battery,Max17044,False,False,False,True,True,False,False,False,False,True
Meadow.Foundation.Sensors.Camera,Amg8833,True,True,False,True,True,False,True,False,False,True
Meadow.Foundation.Sensors.Camera,ArducamMini2MP,False,False,False,True,True,False,False,False,False,True
Meadow.Foundation.Sensors.Camera,Mlx90640,True,True,False,True,True,False,True,False,False,True
Meadow.Foundation.Sensors.Camera,Vc0706,True,True,False,True,True,False,True,False,False,True
Meadow.Foundation.Sensors.Color,Tcs3472x,True,True,False,True,True,False,True,False,False,True
,CurrentLoop,False,False,False,False,False,False,False,False,False,True
Meadow.Foundation.Sensors.Distance,A02yyuw,True,True,False,True,True,False,True,False,False,True
Meadow.Foundation.Sensors.Distance,Hcsr04,True,True,False,True,True,False,True,True,False,False
Meadow.Foundation.Sensors.Distance,MaxBotix,True,False,False,True,True,False,True,True,False,True
Meadow.Foundation.Sensors.Distance,Me007ys,True,True,False,True,True,False,True,False,False,True
Meadow.Foundation.Sensors.Distance,Vl53l0x,True,True,False,True,True,True,True,True,False,True
Meadow.Foundation.Sensors.Environmental,Ags01Db,True,True,False,True,True,True,True,True,False,True
Meadow.Foundation.Sensors.Environmental,AtlasScientificGravityDOMeter,True,True,False,True,True,False,True,False,False,True
Meadow.Foundation.Sensors.Environmental,DFRobotGravityDOMeter,True,True,False,True,True,False,True,False,False,True
Meadow.Foundation.Sensors.Environmental,Ens160,True,True,False,True,True,False,True,False,False,True
Meadow.Foundation.Sensors.Environmental.GroPoint,Gplp2625_S_2,False,False,False,True,True,False,False,False,False,True
Meadow.Foundation.Sensors.Environmental.GroPoint,Gplp2625_S_3,False,False,False,True,True,False,False,False,False,True
Meadow.Foundation.Sensors.Environmental.GroPoint,Gplp2625_S_4,False,False,False,True,True,False,False,False,False,True
Meadow.Foundation.Sensors.Environmental.GroPoint,Gplp2625_S_5,False,False,False,True,True,False,False,False,False,True
Meadow.Foundation.Sensors.Environmental.GroPoint,Gplp2625_S_6,False,False,False,True,True,False,False,False,False,True
Meadow.Foundation.Sensors.Environmental.GroPoint,Gplp2625_S_8,False,False,False,True,True,False,False,False,False,True
